HHID,NWEIGHT,REGIONC,DIVISION,CORDONE,WOODAMT,CORDPLUS,NLPGDELV,KLPGSUPP,NLPGSUPP,NFODELV,NUMFOCO,NUMFOSUP,QUANTFO,BUYKERO,NUMKRDEL,TOTPAYKR,TOTDELKR,NUMKRGAL,TOTKRGAL,TOTKRUSE,GALLONKR,BTUKER,KWH,BTUEL,THERMNG,BTUNG,GALLONFO,BTUFO,THERMLP,BTULP,BTUELAPL,BTUELCOL,BTUELSPH,BTUELWTH,BTUFOAPL,BTUFOSPH,BTUFOWTH,BTUKRAPL,BTUKRSPH,BTUKRWTH,BTULPAPL,BTULPSPH,BTULPWTH,BTUNGAPL,BTUNGCOL,BTUNGSPH,BTUNGWTH
5892,10462,2,4,9,9,999,94,1,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,28641,97723,999999,9999999,999999,9999999,999999,9999999,25016,15317,46304,11085,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
5893,13703,4,9,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,5177,17664,511,51100,999999,9999999,999999,9999999,16418,9999999,1246,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,25232,25868
5894,9449,2,3,9,9,999,99,9,9,99,9,9,9,2,9,9999,20,2,9999,9,40,5400,6590,22485,487,48700,999999,9999999,999999,9999999,22485,9999999,9999999,9999999,9999999,9999999,9999999,9999999,5400,9999999,9999999,9999999,9999999,3054,9999999,35246,10400
5895,8568,2,3,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,9783,33380,671,67100,999999,9999999,999999,9999999,17879,9999999,9999999,15501,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,3881,9999999,63219,9999999
5896,36349,3,7,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,12764,43551,961,96100,999999,9999999,999999,9999999,22001,21550,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,26456,9999999,40788,28856
5897,5170,3,6,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,8002,27303,999999,9999999,999999,9999999,999999,9999999,7361,9999999,11832,8110,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
5898,31181,2,3,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,7307,24930,682,68243,999999,9999999,999999,9999999,13907,11023,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,5020,9999999,47920,15303
5899,13721,4,9,1,2,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,14349,48959,960,96000,999999,9999999,999999,9999999,48959,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,28904,9999999,35710,31386
5900,8371,2,3,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,3564,12160,1137,113727,999999,9999999,999999,9999999,12160,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,6107,9999999,84627,22994
5901,7470,2,3,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,3018,10297,844,84435,999999,9999999,999999,9999999,7471,2826,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,7417,9999999,54410,22608
5902,19035,2,3,9,9,999,1,1,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,4864,16596,743,74300,999999,9999999,999999,9999999,15567,1029,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,53883,20417
5903,19657,3,7,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,4554,15538,999999,9999999,999999,9999999,999999,9999999,8016,2602,2175,2745,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
5904,29046,4,9,9,9,999,94,1,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,10721,36580,999999,9999999,999999,9999999,999999,9999999,11236,9999999,20400,4944,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
5905,5279,3,6,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,12248,41790,1407,140700,999999,9999999,999999,9999999,32182,9608,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,8665,9999999,98781,33253
5906,9788,4,9,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,6146,20970,186,18600,999999,9999999,999999,9999999,13958,9999999,1053,5959,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,18600,9999999
5907,25390,3,5,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,3627,12375,999999,9999999,999999,9999999,999999,9999999,6711,3692,383,1590,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
5908,15489,3,7,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,13168,44929,695,69500,999999,9999999,999999,9999999,22340,22589,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,8005,9999999,33816,27678
5909,17422,2,3,9,9,999,99,9,9,99,9,9,9,2,9,9998,3,5,9999,9,15,2025,9107,31073,753,75300,999999,9999999,999999,9999999,18110,4537,9999999,8426,9999999,9999999,9999999,9999999,2025,9999999,9999999,9999999,9999999,9999999,9999999,75300,9999999
5910,16428,2,3,9,9,999,2,1,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,34323,117110,999999,9999999,999999,9999999,35,3500,36379,8742,57674,14315,9999999,9999999,9999999,9999999,9999999,9999999,9999999,3500,9999999,9999999,9999999,9999999,9999999
5911,7949,3,5,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,12184,41572,999999,9999999,999999,9999999,999999,9999999,14565,5594,8954,12460,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
5912,15313,4,9,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,2387,8145,200,20022,999999,9999999,999999,9999999,6046,9999999,2099,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,20022
5913,11610,3,6,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,12876,43931,737,73700,999999,9999999,999999,9999999,25461,9999999,2104,16366,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,73700,9999999
5914,10671,4,8,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,1530,5220,980,97952,999999,9999999,999999,9999999,5220,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,68515,29437
5915,11672,1,1,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,2393,8165,726,72577,999999,9999999,999999,9999999,8165,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,55161,17416
5916,4157,1,1,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,6244,21305,1304,130400,999999,9999999,999999,9999999,13741,5424,2140,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,18652,9999999,79291,32457
