HHID,NWEIGHT,REGIONC,DIVISION,CDD65,CDD70,CDD75,HDD50,HDD55,HDD60,HDD65,HDD70,FUELHEAT,AUXUGAS,AUXLPG,AUXFOIL,AUXKERO,AUXELEC,AUXCOAL,AUXWOOD,AUXSOLAR,AUXOTHER,DKFUEL,AUXFUEL,HEATAMT,FUELTWIN,FUELPAST,MOFUELCH,YRFUELCH,EQUIPM,RADIANT,STEAM,WARMAIR,REVERSE,PERMELEC,PIPELESS,ROOMHEAT,WOODKILN,CHIMNEY,CARRYEL,CARRYKER,RANGE,DIFEQUIP,DKEQUIP,AUXEQUIP,FANM,STOVSEAL,EQUIPAGE,KHEATCOM,WOODBURN,FUELH2O,UAUXH2OF,FAUXH2O,AGEWATER,KWHTCOM,COOLMAIN,COOLUNIT,NUMBERAC,FUELCOOL,KACSYSCN,FUELSWIM,FUELFOOD,ELWATER,ELWARM,ELCOOL,ELFOOD,ELOTHER,UGWATER,UGWARM,UGCOOL,UGFOOD,UGOUTSID,UGOTHER,LPGWATER,LPGWARM,LPGCOOL,LPGFOOD,LPGOUT,LPGOTHER,FOIWATER,FOILWARM,FOILFOOD,KERWATER,KERWARM,KERFOOD,UGASAREA,RENT1,RENT2,RENT3,RENT4,RENT6,GASCALL,GASBASIS,USEKERO,USEEL,USENG,USEFO,TYPEF01,TYPEF02,TYPEF03,USELP,TYPELP1,TYPELP2,TYPELP3,BROKEN88,NOGIVE88,RANOUT88,SHTOFF88,RBROKE88,RNOGIV88,RRNOUT88,RSHOFF88
5633,31097,3,7,2626,1700,935,533,991,1600,2370,3268,01,0,0,0,0,0,0,0,0,0,0,1,9,1,99,99,99,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,9,9,1,0,01,0,99,9,1,1,0,99,1,1,99,01,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,1,5,1,0,1,1,0,9,9,9,0,9,9,9,0,0,0,0,9,9,9,9
5634,8746,3,7,1235,615,231,1569,2258,3074,4037,5190,01,0,0,0,0,0,0,0,0,0,0,1,9,1,99,99,99,06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,9,5,9,0,01,0,99,1,9,0,0,99,9,9,99,01,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,1,0,9,9,9,0,9,9,9,0,0,0,0,9,9,9,9
5635,18521,4,9,169,55,15,39,280,948,2313,3910,01,0,0,0,0,0,0,0,0,0,0,1,9,1,99,99,99,03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,6,9,0,01,0,99,6,9,0,0,99,9,9,99,01,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,1,0,9,9,9,0,9,9,9,1,0,0,0,0,9,9,9
5636,8268,2,3,1036,534,195,2631,3579,4650,5860,7184,01,0,0,0,0,0,0,0,0,0,0,1,9,1,99,99,99,03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,3,9,0,01,0,99,1,9,0,1,1,9,9,99,01,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,1,0,9,9,9,0,9,9,9,0,0,0,0,9,9,9,9
5637,7306,2,4,961,497,179,2903,3824,4872,6085,7450,03,0,0,0,0,0,0,0,0,0,0,1,9,1,99,99,99,03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,4,9,0,05,0,99,4,9,1,0,99,3,9,99,05,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,9,9,0,9,9,9,0,0,0,0,9,9,9,9
5638,22849,1,2,1058,572,241,1784,2598,3607,4769,6077,01,0,0,0,0,1,0,1,0,0,0,0,1,0,03,98,98,02,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,9,9,9,1,1,01,0,99,9,1,1,1,1,3,0,99,01,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,1,0,9,9,9,0,9,9,9,9,9,9,9,9,9,9,9
5639,11689,4,8,423,142,28,2460,3316,4552,6036,7667,01,0,0,0,0,0,0,0,0,0,0,1,9,1,99,99,99,03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,5,9,0,05,0,99,2,9,0,0,99,9,9,99,05,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,1,0,9,9,9,0,9,9,9,0,0,0,0,9,9,9,9
5640,3829,2,4,422,138,24,4013,5083,6292,7663,9202,07,0,0,0,0,0,0,0,0,0,0,1,9,1,99,99,99,08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,2,9,1,05,0,99,3,9,0,0,99,9,9,99,05,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,9,9,1,9,9,9,0,0,0,0,9,9,9,9
5641,8736,3,6,2097,1297,603,721,1324,2089,3014,4059,05,0,0,0,0,0,0,0,0,0,0,1,9,1,99,99,99,04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,9,1,9,0,05,0,99,3,9,1,0,99,3,9,99,05,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,9,9,0,9,9,9,0,0,0,0,9,9,9,9
5642,6969,2,3,943,468,150,2803,3751,4815,6032,7368,01,0,0,0,0,0,0,0,0,0,0,1,9,1,99,99,99,03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,3,9,0,01,0,99,3,9,1,0,99,3,9,99,05,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,1,0,9,9,9,0,9,9,9,9,9,9,9,9,9,9,9
5643,25388,1,2,904,439,155,1903,2757,3784,4963,6305,01,0,0,0,0,0,0,0,0,0,0,1,9,0,03,98,85,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,9,9,1,0,01,0,99,9,1,0,1,1,9,9,99,01,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,1,0,9,9,9,0,9,9,9,9,9,9,9,9,9,9,9
5644,10458,2,3,1319,741,313,2267,3176,4193,5341,6603,01,0,0,0,0,0,0,0,0,0,0,1,9,1,99,99,99,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,9,9,1,0,01,0,99,9,1,0,0,99,9,9,99,01,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,1,0,9,9,9,0,9,9,9,0,0,0,0,9,9,9,9
5645,14845,2,3,1556,882,372,1906,2710,3632,4662,5800,02,0,0,0,0,0,0,0,0,0,0,1,9,1,99,99,99,03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,6,9,0,02,0,99,6,9,0,1,1,9,9,99,02,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,9,9,1,1,9,9,9,9,9,9,9,9,9,9
